Time,NAT counts,Tunnels,CPU,%usr,%sys,%idle,Flow_count,Handoffq_ drops,Total,Used,Free,Shared,Buffer,Cached
9:10:32 AM,,,all,33.96,31.65,22.4,,,,,,,,
9:10:32 AM,,,0,34.09,36.36,20.45,,,,,,,,
9:10:32 AM,,,1,46.39,22.68,9.28,,,,,,,,
9:10:32 AM,,,2,26.25,35,31.25,,,,,,,,
9:10:32 AM,,,3,26.44,37.93,27.59,,,,,,,,
9:10:32 AM,,,4,44.71,27.06,24.71,,,,,,,,
9:10:32 AM,,,5,25.61,26.83,28.05,,,,,,,,
9:10:32 AM,,,6,22.89,36.14,25.3,,,,,,,,
9:10:32 AM,,,7,42.22,32.22,15.56,,,,,,,,
9:10:33 AM,,,all,37.55,35.08,16.59,,,,,,,,
9:10:33 AM,,,0,39.76,44.58,8.43,,,,,,,,
9:10:33 AM,,,1,45,24,3,,,,,,,,
9:10:33 AM,,,2,32.93,35.37,21.95,,,,,,,,
9:10:33 AM,,,3,27.91,43.02,20.93,,,,,,,,
9:10:33 AM,,,4,65.31,26.53,6.12,,,,,,,,
9:10:33 AM,,,5,25,28.95,40.79,,,,,,,,
9:10:33 AM,,,6,31.33,42.17,20.48,,,,,,,,
9:10:33 AM,,,7,25.32,39.24,17.72,,,,,,,,
9:10:34 AM,,,all,37.75,35.88,15.27,,,,,,,,
9:10:34 AM,,,0,56.25,32.29,6.25,,,,,,,,
9:10:34 AM,,,1,53.47,21.78,0,,,,,,,,
9:10:34 AM,,,2,27.71,37.35,25.3,,,,,,,,
9:10:34 AM,,,3,39.29,35.71,19.05,,,,,,,,
9:10:34 AM,,,4,26.83,40.24,25.61,,,,,,,,
9:10:34 AM,,,5,28.57,35.06,24.68,,,,,,,,
9:10:34 AM,,,6,24.1,44.58,19.28,,,,,,,,
9:10:34 AM,,,7,38.64,43.18,7.95,,,,,,,,
9:10:37 AM,,,all,31.93,34.33,22.04,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,0,30.95,34.52,20.24,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,1,53,27,0,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,2,25.64,35.9,30.77,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,3,25.93,34.57,28.4,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,4,29.89,34.48,26.44,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,5,25.32,36.71,29.11,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,6,30.86,33.33,24.69,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:37 AM,,,7,28.57,40.26,22.08,65537.0,,32935576.0,2507332.0,30428244.0,4786104.0,0.0,965180.0
9:10:38 AM,,,all,38.41,35.85,14.65,,45090672.0,,,,,,
9:10:38 AM,,,0,38.04,44.57,8.7,,45090672.0,,,,,,
9:10:38 AM,,,1,57,20,0,,45090672.0,,,,,,
9:10:38 AM,,,2,34.09,37.5,19.32,,45090672.0,,,,,,
9:10:38 AM,,,3,33.33,36.78,19.54,,45090672.0,,,,,,
9:10:38 AM,,,4,54.74,26.32,12.63,,45090672.0,,,,,,
